PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D76220908750,CLASH 20X9 6X4.5 66.3 MBT 01MM,Fuel 1PC,20X9,6X4.5,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76220908950,CLASH 20X9 6X135 87.1 MBT 01MM,Fuel 1PC,20X9,6X135,1,435.00,435.00 ,Matte Black w/ Dark Tint,478.00,-43.00,exact
D76222008447,CLASH 22X10 6X5.5 106.1 MBT -18MM,Fuel 1PC,22X10,6X5.5,-18,510.00,510.00 ,Matte Black w/ Dark Tint,559.82,-49.82,exact
D76222201747,CLASH 22X12 8X170 125.1 MBT -44MM,Fuel 1PC,22X12,8X170,-44,560.00,560.00 ,Matte Black w/ Dark Tint,558.00,2.00,exact
D763200000-18,SFJ 20X10 BLANK (108-155) 71 -18 BD,Fuel 1PC,20X10,BLANK,-18,460.00,528.00 ,Matte Bronze w/ Black Lip,458.00,70.00,exact
D76320002647,SFJ 20X10 5X4.5/5 71 -18 BD,Fuel 1PC,20X10,5X4.5/5.0,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D76320007047,SFJ 20X10 5X5.5/150 110 -18 BD,Fuel 1PC,20X10,5X5.5/150,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D76320009847,SFJ 20X10 6X135/5.5 106 -18 BD,Fuel 1PC,20X10,6X135/5.5,-18,460.00,460.00 ,Matte Bronze w/ Black Lip,458.00,2.00,exact
D76320202647,SFJ 20X12 5X4.5/5 71 -44 BD,Fuel 1PC,20X12,5X4.5/5.0,-44,510.00,510.00 ,Matte Bronze w/ Black Lip,549.93,-39.93,size-avg
D763209000-01,SFJ 20X9 BLANK (108-155) 71 1 BD,Fuel 1PC,20X9,BLANK,1,435.00,522.00 ,Matte Bronze w/ Black Lip,438.00,84.00,exact
D76320902650,SFJ 20X9 5X4.5/5 71 +1 BD,Fuel 1PC,20X9,5X4.5/5.0,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D76320905750,SFJ 20X9 5X5/5.5 87 +1 BD,Fuel 1PC,20X9,5X5.0/5.5,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D76320907050,SFJ 20X9 5X5.5/150 110 +1 BD,Fuel 1PC,20X9,5X5.5/150,1,435.00,435.00 ,Matte Bronze w/ Black Lip,438.00,-3.00,exact
D76322405745,SFJ 22X14 5X5/5.5 87 -75 BD,Fuel 1PC,22X14,5X5.0/5.5,-75,585.00,585.00 ,Matte Bronze w/ Black Lip,623.00,-38.00,size-avg
D76322409845,SFJ 22X14 6X135/5.5 106 -75 BD,Fuel 1PC,22X14,6X135/5.5,-75,585.00,585.00 ,Matte Bronze w/ Black Lip,623.00,-38.00,size-avg
D76420002647,SFJ 20X10 5X4.5/5 71 -18 GD,Fuel 1PC,20X10,5X4.5/5.0,-18,460.00,460.00 ,Matte Anthracite,478.00,-18.00,exact
D76420007047,SFJ 20X10 5X5.5/150 110 -18 GD,Fuel 1PC,20X10,5X5.5/150,-18,460.00,460.00 ,Matte Anthracite,478.00,-18.00,exact
D76420209847,SFJ 20X12 6X135/5.5 106 -44 GD,Fuel 1PC,20X12,6X135/5.5,-44,510.00,510.00 ,Matte Anthracite,549.93,-39.93,size-avg
D76420902650,SFJ 20X9 5X4.5/5 71 +1 GD,Fuel 1PC,20X9,5X4.5/5.0,1,435.00,435.00 ,Matte Anthracite,478.00,-43.00,exact
D76420907050,SFJ 20X9 5X5.5/150 110 +1 GD,Fuel 1PC,20X9,5X5.5/150,1,435.00,435.00 ,Matte Anthracite,478.00,-43.00,exact
D76520002647,SFJ 20X10 5X4.5/5 71 -18 ZD,Fuel 1PC,20X10,5X4.5/5.0,-18,460.00,460.00 ,Anthracite,478.00,-18.00,exact
D76520007047,SFJ 20X10 5X5.5/150 110 -18 ZD,Fuel 1PC,20X10,5X5.5/150,-18,460.00,460.00 ,Anthracite,478.00,-18.00,exact
D76520202647,SFJ 20X12 5X4.5/5 71 -44 ZD,Fuel 1PC,20X12,5X4.5/5.0,-44,510.00,510.00 ,Anthracite,549.93,-39.93,size-avg
D76520902650,SFJ 20X9 5X4.5/5 71 +1 ZD,Fuel 1PC,20X9,5X4.5/5.0,1,435.00,435.00 ,Anthracite,478.00,-43.00,exact
